event_hour,user_count,hour_index,is_anomaly,was_tagged_as_anomaly
2024-02-29 05:00:00,1940,125,0,0
2024-02-29 06:00:00,2309,126,0,0
2024-02-29 07:00:00,1341,127,0,1
2024-02-29 08:00:00,3921,128,0,0
2024-02-29 09:00:00,4955,129,0,0
2024-02-29 10:00:00,6919,130,0,0
2024-02-29 11:00:00,7557,131,0,0
2024-02-29 12:00:00,8210,132,0,0
2024-02-29 13:00:00,7147,133,0,0
2024-02-29 14:00:00,7122,134,0,0
2024-02-29 15:00:00,6637,135,0,0
2024-02-29 16:00:00,6625,136,0,0
2024-02-29 17:00:00,5661,137,0,0
2024-02-29 18:00:00,5383,138,0,0
2024-02-29 19:00:00,5368,139,0,0
2024-02-29 20:00:00,6044,140,0,0
2024-02-29 21:00:00,6402,141,0,0
2024-02-29 22:00:00,5264,142,0,0
2024-02-29 23:00:00,3407,143,0,0
2024-03-01 00:00:00,3999,144,0,0
2024-03-01 01:00:00,3136,145,0,0
2024-03-01 02:00:00,2664,146,0,0
2024-03-01 03:00:00,2208,147,0,0
2024-03-01 04:00:00,2125,148,0,0
2024-03-01 05:00:00,2330,149,0,0
2024-03-01 06:00:00,2897,150,0,0
2024-03-01 07:00:00,3928,151,0,0
2024-03-01 08:00:00,4569,152,0,0
2024-03-01 09:00:00,5552,153,0,0
2024-03-01 10:00:00,6142,154,0,0
2024-03-01 11:00:00,6781,155,0,0
2024-03-01 12:00:00,6351,156,0,0
2024-03-01 13:00:00,5896,157,0,0
2024-03-01 14:00:00,6072,158,0,0
2024-03-01 15:00:00,6034,159,0,0
2024-03-01 16:00:00,5771,160,0,0
2024-03-01 17:00:00,5711,161,0,0
2024-03-01 18:00:00,5063,162,0,0
2024-03-01 19:00:00,4580,163,0,0
2024-03-01 20:00:00,5015,164,0,0
2024-03-01 21:00:00,5409,165,0,0
2024-03-01 22:00:00,4527,166,0,0
2024-03-01 23:00:00,3068,167,0,0
2024-03-02 00:00:00,4236,168,0,0
2024-03-02 01:00:00,3397,169,0,0
2024-03-02 02:00:00,3258,170,0,0
2024-03-02 03:00:00,2815,171,0,0
2024-03-02 04:00:00,2508,172,0,0
2024-03-02 05:00:00,2229,173,0,0
2024-03-02 06:00:00,2593,174,0,0
2024-03-02 07:00:00,3465,175,0,0
2024-03-02 08:00:00,4718,176,0,0
2024-03-02 09:00:00,6177,177,0,0
2024-03-02 10:00:00,7002,178,0,0
2024-03-02 11:00:00,6875,179,0,0
2024-03-02 12:00:00,7230,180,0,0
2024-03-02 13:00:00,7861,181,0,0
2024-03-02 14:00:00,8041,182,0,0
2024-03-02 15:00:00,7836,183,0,0
2024-03-02 16:00:00,6892,184,0,0
2024-03-02 17:00:00,6600,185,0,0
2024-03-02 18:00:00,5834,186,0,0
2024-03-02 19:00:00,5810,187,0,0
2024-03-02 20:00:00,5401,188,0,0
2024-03-02 21:00:00,5097,189,0,0
2024-03-02 22:00:00,4321,190,0,0
2024-03-02 23:00:00,2976,191,0,0
2024-03-03 00:00:00,3713,192,0,0
2024-03-03 01:00:00,2882,193,0,0
2024-03-03 02:00:00,2980,194,0,0
2024-03-03 03:00:00,3027,195,0,0
2024-03-03 04:00:00,3151,196,0,0
2024-03-03 05:00:00,2937,197,0,0
2024-03-03 06:00:00,2799,198,0,0
2024-03-03 07:00:00,4823,199,0,0
2024-03-03 08:00:00,7322,200,0,0
2024-03-03 09:00:00,9546,201,0,0
2024-03-03 10:00:00,10310,202,0,0
2024-03-03 11:00:00,9710,203,0,0
2024-03-03 12:00:00,10505,204,0,0
2024-03-03 13:00:00,15466,205,1,0
2024-03-03 14:00:00,11969,206,0,0
2024-03-03 15:00:00,10501,207,0,0
2024-03-03 16:00:00,9800,208,0,0
2024-03-03 17:00:00,8739,209,0,0
2024-03-03 18:00:00,7683,210,0,0
2024-03-03 19:00:00,7359,211,0,0
2024-03-03 20:00:00,7357,212,0,0
2024-03-03 21:00:00,6910,213,0,0
2024-03-03 22:00:00,5507,214,0,0
2024-03-03 23:00:00,3737,215,0,0
2024-03-04 00:00:00,4657,216,0,0
2024-03-04 01:00:00,3483,217,0,0
2024-03-04 02:00:00,3013,218,0,0
2024-03-04 03:00:00,2754,219,0,0
2024-03-04 04:00:00,2805,220,0,0
2024-03-04 05:00:00,2982,221,0,0
2024-03-04 06:00:00,3488,222,0,0
2024-03-04 07:00:00,4507,223,0,0
2024-03-04 08:00:00,5545,224,0,0
2024-03-04 09:00:00,6652,225,0,0
2024-03-04 10:00:00,7207,226,0,0
2024-03-04 11:00:00,6851,227,0,0
2024-03-04 12:00:00,6722,228,0,0
2024-03-04 13:00:00,6933,229,0,0
2024-03-04 14:00:00,6985,230,0,0
2024-03-04 15:00:00,7275,231,0,0
2024-03-04 16:00:00,6713,232,0,0
2024-03-04 17:00:00,6553,233,0,0
2024-03-04 18:00:00,6058,234,0,0
2024-03-04 19:00:00,5811,235,0,0
2024-03-04 20:00:00,5865,236,0,0
2024-03-04 21:00:00,5794,237,0,0
2024-03-04 22:00:00,4691,238,0,0
2024-03-04 23:00:00,3028,239,0,0
2024-03-05 00:00:00,4075,240,0,0
2024-03-05 01:00:00,3154,241,0,0
2024-03-05 02:00:00,3216,242,0,0
2024-03-05 03:00:00,2510,243,0,0
2024-03-05 04:00:00,1897,244,0,1
2024-03-05 05:00:00,2363,245,0,0
2024-03-05 06:00:00,3380,246,0,0
2024-03-05 07:00:00,5827,247,0,0
2024-03-05 08:00:00,6798,248,0,0
2024-03-05 09:00:00,8279,249,0,0
2024-03-05 10:00:00,7687,250,0,0
2024-03-05 11:00:00,5987,251,0,0
2024-03-05 12:00:00,6940,252,0,0
2024-03-05 13:00:00,7332,253,0,0
2024-03-05 14:00:00,7201,254,0,0
2024-03-05 15:00:00,7287,255,0,0
2024-03-05 16:00:00,7034,256,0,0
2024-03-05 17:00:00,6590,257,0,0
2024-03-05 18:00:00,5864,258,0,0
2024-03-05 19:00:00,5760,259,0,0
